state_index,state_word,next_state_index
0,00000,1
1,00001,2
2,00010,3
3,00100,4
4,01000,5
5,10000,6
6,00002,7
7,00020,8
8,00200,9
9,02000,10
10,20000,11
11,00003,12
12,00030,13
13,00300,14
14,03000,15
15,30001,16
16,00011,17
17,00110,18
18,01100,19
19,11000,20
20,10001,21
21,00012,22
22,00120,23
23,01200,24
24,12000,25
25,20001,26
26,00013,27
27,00130,28
28,01300,29
29,13000,30
30,30002,31
31,00021,32
32,00210,33
33,02100,34
34,21000,35
35,10002,36
36,00022,37
37,00220,38
38,02200,39
39,22000,40
40,20002,41
41,00023,42
42,00230,43
43,02300,44
44,23000,45
45,30003,46
46,00031,47
47,00310,48
48,03100,49
49,31000,50
50,10003,51
51,00032,52
52,00320,53
53,03200,54
54,32000,55
55,20003,56
56,00033,57
57,00330,58
58,03300,59
59,33001,60
60,30010,61
61,00101,62
62,01010,63
63,10100,64
64,01001,65
65,10010,66
66,00102,67
67,01020,68
68,10200,69
69,02001,70
70,20010,71
71,00103,72
72,01030,73
73,10300,74
74,03001,75
75,30011,76
76,00111,77
77,01110,78
78,11100,79
79,11001,80
80,10011,81
81,00112,82
82,01120,83
83,11200,84
84,12001,85
85,20011,86
86,00113,87
87,01130,88
88,11300,89
89,13001,90
90,30012,91
91,00121,92
92,01210,93
93,12100,94
94,21001,95
95,10012,96
96,00122,97
97,01220,98
98,12200,99
99,22001,100
100,20012,101
101,00123,102
102,01230,103
103,12300,104
104,23001,105
105,30013,106
106,00131,107
107,01310,108
108,13100,109
109,31001,110
110,10013,111
111,00132,112
112,01320,113
113,13200,114
114,32001,115
115,20013,116
116,00133,117
117,01330,118
118,13300,119
119,33002,120
120,30020,121
121,00201,122
122,02010,123
123,20100,124
124,01002,125
125,10020,126
126,00202,127
127,02020,128
128,20200,129
129,02002,130
130,20020,131
131,00203,132
132,02030,133
133,20300,134
134,03002,135
135,30021,136
136,00211,137
137,02110,138
138,21100,139
139,11002,140
140,10021,141
141,00212,142
142,02120,143
143,21200,144
144,12002,145
145,20021,146
146,00213,147
147,02130,148
148,21300,149
149,13002,150
150,30022,151
151,00221,152
152,02210,153
153,22100,154
154,21002,155
155,10022,156
156,00222,157
157,02220,158
158,22200,159
159,22002,160
160,20022,161
161,00223,162
162,02230,163
163,22300,164
164,23002,165
165,30023,166
166,00231,167
167,02310,168
168,23100,169
169,31002,170
170,10023,171
171,00232,172
172,02320,173
173,23200,174
174,32002,175
175,20023,176
176,00233,177
177,02330,178
178,23300,179
179,33003,180
180,30030,181
181,00301,182
182,03010,183
183,30100,184
184,01003,185
185,10030,186
186,00302,187
187,03020,188
188,30200,189
189,02003,190
190,20030,191
191,00303,192
192,03030,193
193,30300,194
194,03003,195
195,30031,196
196,00311,197
197,03110,198
198,31100,199
199,11003,200
200,10031,201
201,00312,202
202,03120,203
203,31200,204
204,12003,205
205,20031,206
206,00313,207
207,03130,208
208,31300,209
209,13003,210
210,30032,211
211,00321,212
212,03210,213
213,32100,214
214,21003,215
215,10032,216
216,00322,217
217,03220,218
218,32200,219
219,22003,220
220,20032,221
221,00323,222
222,03230,223
223,32300,224
224,23003,225
225,30033,226
226,00331,227
227,03310,228
228,33100,229
229,31003,230
230,10033,231
231,00332,232
232,03320,233
233,33200,234
234,32003,235
235,20033,236
236,00333,237
237,03330,238
238,33301,239
239,33010,240
240,30101,241
241,01011,242
242,10110,243
243,01101,244
244,11010,245
245,10101,246
246,01012,247
247,10120,248
248,01201,249
249,12010,250
250,20101,251
251,01013,252
252,10130,253
253,01301,254
254,13010,255
255,30102,256
256,01021,257
257,10210,258
258,02101,259
259,21010,260
260,10102,261
261,01022,262
262,10220,263
263,02201,264
264,22010,265
265,20102,266
266,01023,267
267,10230,268
268,02301,269
269,23010,270
270,30103,271
271,01031,272
272,10310,273
273,03101,274
274,31010,275
275,10103,276
276,01032,277
277,10320,278
278,03201,279
279,32010,280
280,20103,281
281,01033,282
282,10330,283
283,03301,284
284,33011,285
285,30110,286
286,01102,287
287,11020,288
288,10201,289
289,02011,290
290,20110,291
291,01103,292
292,11030,293
293,10301,294
294,03011,295
295,30111,296
296,01111,297
297,11110,298
298,11101,299
299,11011,300
300,10111,301
301,01112,302
302,11120,303
303,11201,304
304,12011,305
305,20111,306
306,01113,307
307,11130,308
308,11301,309
309,13011,310
310,30112,311
311,01121,312
312,11210,313
313,12101,314
314,21011,315
315,10112,316
316,01122,317
317,11220,318
318,12201,319
319,22011,320
320,20112,321
321,01123,322
322,11230,323
323,12301,324
324,23011,325
325,30113,326
326,01131,327
327,11310,328
328,13101,329
329,31011,330
330,10113,331
331,01132,332
332,11320,333
333,13201,334
334,32011,335
335,20113,336
336,01133,337
337,11330,338
338,13301,339
339,33012,340
340,30120,341
341,01202,342
342,12020,343
343,20201,344
344,02012,345
345,20120,346
346,01203,347
347,12030,348
348,20301,349
349,03012,350
350,30121,351
351,01211,352
352,12110,353
353,21101,354
354,11012,355
355,10121,356
356,01212,357
357,12120,358
358,21201,359
359,12012,360
360,20121,361
361,01213,362
362,12130,363
363,21301,364
364,13012,365
365,30122,366
366,01221,367
367,12210,368
368,22101,369
369,21012,370
370,10122,371
371,01222,372
372,12220,373
373,22201,374
374,22012,375
375,20122,376
376,01223,377
377,12230,378
378,22301,379
379,23012,380
380,30123,381
381,01231,382
382,12310,383
383,23101,384
384,31012,385
385,10123,386
386,01232,387
387,12320,388
388,23201,389
389,32012,390
390,20123,391
391,01233,392
392,12330,393
393,23301,394
394,33013,395
395,30130,396
396,01302,397
397,13020,398
398,30201,399
399,02013,400
400,20130,401
401,01303,402
402,13030,403
403,30301,404
404,03013,405
405,30131,406
406,01311,407
407,13110,408
408,31101,409
409,11013,410
410,10131,411
411,01312,412
412,13120,413
413,31201,414
414,12013,415
415,20131,416
416,01313,417
417,13130,418
418,31301,419
419,13013,420
420,30132,421
421,01321,422
422,13210,423
423,32101,424
424,21013,425
425,10132,426
426,01322,427
427,13220,428
428,32201,429
429,22013,430
430,20132,431
431,01323,432
432,13230,433
433,32301,434
434,23013,435
435,30133,436
436,01331,437
437,13310,438
438,33101,439
439,31013,440
440,10133,441
441,01332,442
442,13320,443
443,33201,444
444,32013,445
445,20133,446
446,01333,447
447,13330,448
448,33302,449
449,33020,450
450,30202,451
451,02021,452
452,20210,453
453,02102,454
454,21020,455
455,10202,456
456,02022,457
457,20220,458
458,02202,459
459,22020,460
460,20202,461
461,02023,462
462,20230,463
463,02302,464
464,23020,465
465,30203,466
466,02031,467
467,20310,468
468,03102,469
469,31020,470
470,10203,471
471,02032,472
472,20320,473
473,03202,474
474,32020,475
475,20203,476
476,02033,477
477,20330,478
478,03302,479
479,33021,480
480,30210,481
481,02103,482
482,21030,483
483,10302,484
484,03021,485
485,30211,486
486,02111,487
487,21110,488
488,11102,489
489,11021,490
