state_index,state_word,next_state_index
0,000000,1
1,000001,2
2,000010,3
3,000100,4
4,001000,5
5,010000,6
6,100000,7
7,000002,8
8,000020,9
9,000200,10
10,002000,11
11,020000,12
12,200001,13
13,000011,14
14,000110,15
15,001100,16
16,011000,17
17,110000,18
18,100001,19
19,000012,20
20,000120,21
21,001200,22
22,012000,23
23,120000,24
24,200002,25
25,000021,26
26,000210,27
27,002100,28
28,021000,29
29,210000,30
30,100002,31
31,000022,32
32,000220,33
33,002200,34
34,022000,35
35,220001,36
36,200010,37
37,000101,38
38,001010,39
39,010100,40
40,101000,41
41,010001,42
42,100010,43
43,000102,44
44,001020,45
45,010200,46
46,102000,47
47,020001,48
48,200011,49
49,000111,50
50,001110,51
51,011100,52
52,111000,53
53,110001,54
54,100011,55
55,000112,56
56,001120,57
57,011200,58
58,112000,59
59,120001,60
60,200012,61
61,000121,62
62,001210,63
63,012100,64
64,121000,65
65,210001,66
66,100012,67
67,000122,68
68,001220,69
69,012200,70
70,122000,71
71,220002,72
72,200020,73
73,000201,74
74,002010,75
75,020100,76
76,201000,77
77,010002,78
78,100020,79
79,000202,80
80,002020,81
81,020200,82
82,202000,83
83,020002,84
84,200021,85
85,000211,86
86,002110,87
87,021100,88
88,211000,89
89,110002,90
90,100021,91
91,000212,92
92,002120,93
93,021200,94
94,212000,95
95,120002,96
96,200022,97
97,000221,98
98,002210,99
99,022100,100
100,221000,101
101,210002,102
102,100022,103
103,000222,104
104,002220,105
105,022200,106
106,222001,107
107,220010,108
108,200100,109
109,001001,110
110,010010,111
111,100100,112
112,001002,113
113,010020,114
114,100200,115
115,002001,116
116,020010,117
117,200101,118
118,001011,119
119,010110,120
120,101100,121
121,011001,122
122,110010,123
123,100101,124
124,001012,125
125,010120,126
126,101200,127
127,012001,128
128,120010,129
129,200102,130
130,001021,131
131,010210,132
132,102100,133
133,021001,134
134,210010,135
135,100102,136
136,001022,137
137,010220,138
138,102200,139
139,022001,140
140,220011,141
141,200110,142
142,001101,143
143,011010,144
144,110100,145
145,101001,146
146,010011,147
147,100110,148
148,001102,149
149,011020,150
150,110200,151
151,102001,152
152,020011,153
153,200111,154
154,001111,155
155,011110,156
156,111100,157
157,111001,158
158,110011,159
159,100111,160
160,001112,161
161,011120,162
162,111200,163
163,112001,164
164,120011,165
165,200112,166
166,001121,167
167,011210,168
168,112100,169
169,121001,170
170,210011,171
171,100112,172
172,001122,173
173,011220,174
174,112200,175
175,122001,176
176,220012,177
177,200120,178
178,001201,179
179,012010,180
180,120100,181
181,201001,182
182,010012,183
183,100120,184
184,001202,185
185,012020,186
186,120200,187
187,202001,188
188,020012,189
189,200121,190
190,001211,191
191,012110,192
192,121100,193
193,211001,194
194,110012,195
195,100121,196
196,001212,197
197,012120,198
198,121200,199
199,212001,200
