state_index,state_word,next_state_index
0,000000,1
1,000001,2
2,000010,3
3,000100,4
4,001000,5
5,010000,6
6,100001,7
7,000011,8
8,000110,9
9,001100,10
10,011000,11
11,110001,12
12,100010,13
13,000101,14
14,001010,15
15,010100,16
16,101000,17
17,010001,18
18,100011,19
19,000111,20
20,001110,21
21,011100,22
22,111001,23
23,110010,24
24,100100,25
25,001001,26
26,010010,27
27,100101,28
28,001011,29
29,010110,30
30,101100,31
31,011001,32
32,110011,33
33,100110,34
34,001101,35
35,011010,36
36,110100,37
37,101001,38
38,010011,39
39,100111,40
40,001111,41
41,011110,42
42,111101,43
43,111010,44
44,110101,45
45,101010,46
46,010101,47
47,101011,48
48,010111,49
49,101110,50
50,011101,51
51,111011,52
52,110110,53
53,101101,54
54,011011,55
55,110111,56
56,101111,57
57,011111,58
58,111111,59
59,111110,60
60,111100,61
61,111000,62
62,110000,63
63,100000,0
