state_index,state_word,next_state_index
0,00000,1
1,00001,2
2,00010,3
3,00100,4
4,01000,5
5,10000,6
6,00002,7
7,00020,8
8,00200,9
9,02000,10
10,20001,11
11,00011,12
12,00110,13
13,01100,14
14,11000,15
15,10001,16
16,00012,17
17,00120,18
18,01200,19
19,12000,20
20,20002,21
21,00021,22
22,00210,23
23,02100,24
24,21000,25
25,10002,26
26,00022,27
27,00220,28
28,02200,29
29,22001,30
30,20010,31
31,00101,32
32,01010,33
33,10100,34
34,01001,35
35,10010,36
36,00102,37
37,01020,38
38,10200,39
39,02001,40
40,20011,41
41,00111,42
42,01110,43
43,11100,44
44,11001,45
45,10011,46
46,00112,47
47,01120,48
48,11200,49
49,12001,50
50,20012,51
51,00121,52
52,01210,53
53,12100,54
54,21001,55
55,10012,56
56,00122,57
57,01220,58
58,12200,59
59,22002,60
60,20020,61
61,00201,62
62,02010,63
63,20100,64
64,01002,65
65,10020,66
66,00202,67
67,02020,68
68,20200,69
69,02002,70
70,20021,71
71,00211,72
72,02110,73
73,21100,74
74,11002,75
75,10021,76
76,00212,77
77,02120,78
78,21200,79
79,12002,80
80,20022,81
81,00221,82
82,02210,83
83,22100,84
84,21002,85
85,10022,86
86,00222,87
87,02220,88
88,22201,89
89,22010,90
90,20101,91
91,01011,92
92,10110,93
93,01101,94
94,11010,95
95,10101,96
96,01012,97
97,10120,98
98,01201,99
99,12010,100
100,20102,101
101,01021,102
102,10210,103
103,02101,104
104,21010,105
105,10102,106
106,01022,107
107,10220,108
108,02201,109
109,22011,110
110,20110,111
111,01102,112
112,11020,113
113,10201,114
114,02011,115
115,20111,116
116,01111,117
117,11110,118
118,11101,119
119,11011,120
120,10111,121
121,01112,122
122,11120,123
123,11201,124
124,12011,125
125,20112,126
126,01121,127
127,11210,128
128,12101,129
129,21011,130
130,10112,131
131,01122,132
132,11220,133
133,12201,134
134,22012,135
135,20120,136
136,01202,137
137,12020,138
138,20201,139
139,02012,140
140,20121,141
141,01211,142
142,12110,143
143,21101,144
144,11012,145
145,10121,146
146,01212,147
147,12120,148
148,21201,149
149,12012,150
150,20122,151
151,01221,152
152,12210,153
153,22101,154
154,21012,155
155,10122,156
156,01222,157
157,12220,158
158,22202,159
159,22020,160
160,20202,161
161,02021,162
162,20210,163
163,02102,164
164,21020,165
165,10202,166
166,02022,167
167,20220,168
168,02202,169
169,22021,170
170,20211,171
171,02111,172
172,21110,173
173,11102,174
174,11021,175
175,10211,176
176,02112,177
177,21120,178
178,11202,179
179,12021,180
180,20212,181
181,02121,182
182,21210,183
183,12102,184
184,21021,185
185,10212,186
186,02122,187
187,21220,188
188,12202,189
189,22022,190
190,20221,191
191,02211,192
192,22110,193
193,21102,194
194,11022,195
195,10221,196
196,02212,197
197,22120,198
198,21202,199
199,12022,200
200,20222,201
201,02221,202
202,22210,203
203,22102,204
204,21022,205
205,10222,206
206,02222,207
207,22221,208
208,22211,209
209,22111,210
210,21111,211
211,11111,212
212,11112,213
213,11121,214
214,11211,215
215,12111,216
216,21112,217
217,11122,218
218,11221,219
219,12211,220
220,22112,221
221,21121,222
222,11212,223
223,12121,224
224,21211,225
225,12112,226
226,21122,227
227,11222,228
228,12221,229
229,22212,230
230,22121,231
231,21212,232
232,12122,233
233,21221,234
234,12212,235
235,22122,236
236,21222,237
237,12222,238
238,22222,239
239,22220,240
240,22200,241
241,22000,242
242,20000,0
