state_index,state_word,next_state_index
0,0000,1
1,0001,2
2,0010,3
3,0100,4
4,1000,5
5,0002,6
6,0020,7
7,0200,8
8,2001,9
9,0011,10
10,0110,11
11,1100,12
12,1001,13
13,0012,14
14,0120,15
15,1200,16
16,2002,17
17,0021,18
18,0210,19
19,2100,20
20,1002,21
21,0022,22
22,0220,23
23,2201,24
24,2010,25
25,0101,26
26,1010,27
27,0102,28
28,1020,29
29,0201,30
30,2011,31
31,0111,32
32,1110,33
33,1101,34
34,1011,35
35,0112,36
36,1120,37
37,1201,38
38,2012,39
39,0121,40
40,1210,41
41,2101,42
42,1012,43
43,0122,44
44,1220,45
45,2202,46
46,2020,47
47,0202,48
48,2021,49
49,0211,50
50,2110,51
51,1102,52
52,1021,53
53,0212,54
54,2120,55
55,1202,56
56,2022,57
57,0221,58
58,2210,59
59,2102,60
60,1022,61
61,0222,62
62,2221,63
63,2211,64
64,2111,65
65,1111,66
66,1112,67
67,1121,68
68,1211,69
69,2112,70
70,1122,71
71,1221,72
72,2212,73
73,2121,74
74,1212,75
75,2122,76
76,1222,77
77,2222,78
78,2220,79
79,2200,80
80,2000,0
