state_index,state_word,next_state_index
0,000,1
1,001,2
2,010,3
3,100,4
4,002,5
5,020,6
6,200,7
7,003,8
8,030,9
9,301,10
10,011,11
11,110,12
12,101,13
13,012,14
14,120,15
15,201,16
16,013,17
17,130,18
18,302,19
19,021,20
20,210,21
21,102,22
22,022,23
23,220,24
24,202,25
25,023,26
26,230,27
27,303,28
28,031,29
29,310,30
30,103,31
31,032,32
32,320,33
33,203,34
34,033,35
35,331,36
36,311,37
37,111,38
38,112,39
39,121,40
40,211,41
41,113,42
42,131,43
43,312,44
44,122,45
45,221,46
46,212,47
47,123,48
48,231,49
49,313,50
50,132,51
51,321,52
52,213,53
53,133,54
54,332,55
55,322,56
56,222,57
57,223,58
58,232,59
59,323,60
60,233,61
61,333,62
62,330,63
63,300,0
