state_index,state_word,next_state_index
0,0000,1
1,0001,2
2,0010,3
3,0100,4
4,1000,5
5,0002,6
6,0020,7
7,0200,8
8,2000,9
9,0003,10
10,0030,11
11,0300,12
12,3001,13
13,0011,14
14,0110,15
15,1100,16
16,1001,17
17,0012,18
18,0120,19
19,1200,20
20,2001,21
21,0013,22
22,0130,23
23,1300,24
24,3002,25
25,0021,26
26,0210,27
27,2100,28
28,1002,29
29,0022,30
30,0220,31
31,2200,32
32,2002,33
33,0023,34
34,0230,35
35,2300,36
36,3003,37
37,0031,38
38,0310,39
39,3100,40
40,1003,41
41,0032,42
42,0320,43
43,3200,44
44,2003,45
45,0033,46
46,0330,47
47,3301,48
48,3010,49
49,0101,50
50,1010,51
51,0102,52
52,1020,53
53,0201,54
54,2010,55
55,0103,56
56,1030,57
57,0301,58
58,3011,59
59,0111,60
60,1110,61
61,1101,62
62,1011,63
63,0112,64
64,1120,65
65,1201,66
66,2011,67
67,0113,68
68,1130,69
69,1301,70
70,3012,71
71,0121,72
72,1210,73
73,2101,74
74,1012,75
75,0122,76
76,1220,77
77,2201,78
78,2012,79
79,0123,80
80,1230,81
81,2301,82
82,3013,83
83,0131,84
84,1310,85
85,3101,86
86,1013,87
87,0132,88
88,1320,89
89,3201,90
90,2013,91
91,0133,92
92,1330,93
93,3302,94
94,3020,95
95,0202,96
96,2020,97
97,0203,98
98,2030,99
99,0302,100
100,3021,101
101,0211,102
102,2110,103
103,1102,104
104,1021,105
105,0212,106
106,2120,107
107,1202,108
108,2021,109
109,0213,110
110,2130,111
111,1302,112
112,3022,113
113,0221,114
114,2210,115
115,2102,116
116,1022,117
117,0222,118
118,2220,119
119,2202,120
120,2022,121
121,0223,122
122,2230,123
123,2302,124
124,3023,125
125,0231,126
126,2310,127
127,3102,128
128,1023,129
129,0232,130
130,2320,131
131,3202,132
132,2023,133
133,0233,134
134,2330,135
135,3303,136
136,3030,137
137,0303,138
138,3031,139
139,0311,140
140,3110,141
141,1103,142
142,1031,143
143,0312,144
144,3120,145
145,1203,146
146,2031,147
147,0313,148
148,3130,149
149,1303,150
150,3032,151
151,0321,152
152,3210,153
153,2103,154
154,1032,155
155,0322,156
156,3220,157
157,2203,158
158,2032,159
159,0323,160
160,3230,161
161,2303,162
162,3033,163
163,0331,164
164,3310,165
165,3103,166
166,1033,167
167,0332,168
168,3320,169
169,3203,170
170,2033,171
171,0333,172
172,3331,173
173,3311,174
174,3111,175
175,1111,176
176,1112,177
177,1121,178
178,1211,179
179,2111,180
180,1113,181
181,1131,182
182,1311,183
183,3112,184
184,1122,185
185,1221,186
186,2211,187
187,2112,188
188,1123,189
189,1231,190
190,2311,191
191,3113,192
192,1132,193
193,1321,194
194,3211,195
195,2113,196
196,1133,197
197,1331,198
198,3312,199
199,3121,200
200,1212,201
201,2121,202
202,1213,203
203,2131,204
204,1312,205
205,3122,206
206,1222,207
207,2221,208
208,2212,209
209,2122,210
210,1223,211
211,2231,212
212,2312,213
213,3123,214
214,1232,215
215,2321,216
216,3212,217
217,2123,218
218,1233,219
219,2331,220
220,3313,221
221,3131,222
222,1313,223
223,3132,224
224,1322,225
225,3221,226
226,2213,227
227,2132,228
228,1323,229
229,3231,230
230,2313,231
231,3133,232
232,1332,233
233,3321,234
234,3213,235
235,2133,236
236,1333,237
237,3332,238
238,3322,239
239,3222,240
240,2222,241
241,2223,242
242,2232,243
243,2322,244
244,3223,245
245,2233,246
246,2332,247
247,3323,248
248,3232,249
249,2323,250
250,3233,251
251,2333,252
252,3333,253
253,3330,254
254,3300,255
255,3000,0
